Vehicle ID,Lane number,Frame count,Timestamp
3,1,15,0.49999945557491293
10,3,56,1.8666646341463415
6,1,104,3.4666628919860627
9,1,149,4.966661258710801
17,1,195,6.499992922473868
22,1,221,7.366658645470384
24,1,254,8.466657447735193
25,1,273,9.099990091463415
39,1,286,9.533322952961672
19,2,297,9.899989220383276
30,1,339,11.299987695993032
34,1,345,11.499987478222996
40,1,365,12.166653418989547
36,1,416,13.86665156794425
37,2,435,14.499984211672475
43,1,466,15.533316419860627
61,1,598,19.93331162891986
57,1,599,19.96664492595819
60,1,642,21.399976698606274
63,1,670,22.333309015679443
62,2,741,24.699973105400698
66,1,743,24.766639699477352
85,1,799,26.633304333623695
70,1,811,27.033303898083624
74,1,829,27.63330324477352
93,3,854,28.46663567073171
79,1,870,28.99996842334495
91,2,904,30.133300522648085
106,3,993,33.09996395905924
88,1,1049,34.96662859320558
112,3,1052,35.06662848432056
97,1,1111,37.03329300958188
115,1,1140,37.99995862369338
104,1,1196,39.86662325783972
114,1,1205,40.16662293118467
125,3,1207,40.23328952526133
100,1,1271,42.36662053571429
116,1,1286,42.8666199912892
123,1,1351,45.03328429878049
130,1,1374,45.799950130662026
134,3,1379,45.96661661585366
138,1,1435,47.83328125
152,3,1463,48.76661356707317
132,1,1465,48.83328016114983
131,1,1501,50.03327885452962
163,3,1542,51.39994403310105
155,1,1542,51.39994403310105
135,1,1585,52.83327580574913
165,3,1593,53.09994218205575
159,1,1608,53.599941637630664
168,1,1665,55.499939568815336
139,1,1686,56.19993880662021
176,2,1694,56.466605182926834
170,1,1715,57.16660442073171
174,1,1761,58.69993608449477
167,2,1768,58.93326916376307
183,1,1796,59.86660148083624
172,1,1826,60.86660039198607
187,1,1912,63.73326393728223
190,2,1921,64.03326361062717
194,1,2008,66.93326045296168
202,1,2050,68.33325892857142
192,2,2075,69.16659135452961
215,1,2097,69.89992388937283
203,1,2150,71.66658863240418
198,1,2150,71.66658863240418
200,2,2179,72.63325424651568
208,2,2231,74.3665856925087
228,1,2237,74.56658547473867
217,1,2247,74.89991844512195
227,2,2266,75.53325108885018
226,1,2294,76.46658340592334
220,1,2296,76.53325000000001
232,1,2355,78.49991452526133
225,1,2435,81.16657828832753
230,1,2464,82.13324390243903
233,2,2500,83.33324259581882
240,1,2503,83.4332424869338
238,1,2509,83.63324226916377
243,1,2555,85.16657393292684
253,1,2659,88.6332368249129
250,1,2698,89.93323540940767
254,1,2701,90.03323530052265
251,1,2757,91.899899934669
257,1,2797,93.23323181620209
