Vehicle ID,Lane number,Frame count,Timestamp
258,1,2847,94.89989666811847
262,1,2912,97.06656097560976
263,1,2947,98.23322637195122
264,1,2977,99.23322528310105
268,1,2996,99.86655792682927
272,1,3104,103.46655400696865
280,1,3161,105.36655193815331
276,1,3180,105.99988458188153
284,1,3192,106.39988414634146
286,1,3218,107.26654986933798
283,1,3244,108.1332155923345
289,1,3275,109.16654780052265
291,1,3306,110.1998800087108
303,3,3332,111.06654573170732
295,1,3352,111.73321167247387
305,2,3408,113.59987630662022
298,1,3425,114.16654235627178
311,1,3463,115.43320764372822
315,3,3504,116.79987282229966
309,1,3518,117.26653898083624
313,1,3560,118.666537456446
314,1,3572,119.06653702090593
317,1,3633,121.09986814024391
316,1,3644,121.4665344076655
318,2,3650,121.66653418989547
322,3,3656,121.86653397212544
319,1,3745,124.83319740853659
325,1,3901,130.03319174651568
327,1,3925,130.83319087543555
326,2,3926,130.86652417247387
330,1,3950,131.66652330139374
332,1,3968,132.26652264808362
338,2,4053,135.09985289634147
344,1,4059,135.29985267857143
339,1,4070,135.66651894599303
341,1,4117,137.23318390679444
348,1,4132,137.73318336236935
355,3,4158,138.59984908536586
346,1,4164,138.7998488675958
350,1,4170,138.9998486498258
349,1,4183,139.43318151132405
351,1,4206,140.1998473432056
367,3,4218,140.59984690766552
374,3,4248,141.59984581881534
357,1,4250,141.666512412892
362,1,4269,142.29984505662023
360,1,4284,142.79984451219514
363,1,4300,143.33317726480837
364,1,4314,143.79984342334495
372,1,4338,144.59984255226482
373,1,4361,145.36650838414636
396,3,4430,147.66650587979095
391,1,4435,147.83317236498257
389,1,4498,149.9331700783972
401,1,4620,153.99983231707319
388,2,4648,154.93316463414635
408,1,4656,155.19983101045295
411,1,4676,155.86649695121952
423,3,4733,157.76649488240417
414,1,4752,158.3998275261324
419,1,4799,159.96649248693382
431,3,4806,160.1998255662021
420,1,4812,160.39982534843207
422,1,4828,160.9331581010453
427,1,4852,161.73315722996517
428,1,4881,162.69982284407666
433,1,4922,164.0664880226481
432,1,4931,164.36648769599304
387,2,4948,164.9331537456446
439,1,4999,166.6331518945993
440,1,5010,166.99981816202092
444,1,5046,168.1998168554007
452,1,5079,169.2998156576655
461,2,5105,170.16648138066202
450,1,5106,170.19981467770035
454,1,5121,170.69981413327525
464,1,5176,172.5331454703833
443,2,5196,173.19981141114982
467,1,5221,174.033143837108
469,2,5238,174.5998098867596
473,2,5315,177.16647375871082
485,1,5334,177.79980640243903
465,1,5379,179.29980476916376
489,3,5397,179.89980411585367
499,1,5480,182.66646777003484
492,1,5528,184.26646602787457
471,1,5549,184.96646526567946
498,1,5569,185.633131206446
507,2,5576,185.8664642857143
501,1,5677,189.2331272865854
534,3,5697,189.89979322735192
526,1,5807,193.56645590156796
555,1,5847,194.89978778310106
561,3,5902,196.73311912020907
547,1,5905,196.83311901132404
545,1,5928,197.59978484320558
550,1,5936,197.86645121951221
567,3,5941,198.03311770470384
552,1,5981,199.36644958623694
562,1,5990,199.6664492595819
569,1,6030,200.999781141115
565,1,6051,201.69978037891988
577,1,6080,202.66644599303137
578,1,6105,203.49977841898956
548,2,6148,204.93311019163764
583,1,6173,205.76644261759583
579,1,6196,206.53310844947737
586,1,6242,208.06644011324042
591,1,6302,210.06643793554008
597,1,6314,210.4664375
607,3,6325,210.83310376742162
605,1,6358,211.9331025696864
617,3,6380,212.66643510452963
603,1,6413,213.76643390679445
604,1,6439,214.63309962979096
616,1,6461,215.36643216463415
612,1,6486,216.19976459059234
614,1,6488,216.266431184669
619,1,6535,217.8330961454704
637,3,6580,219.33309451219512
621,1,6580,219.33309451219512
630,2,6592,219.73309407665505
628,2,6669,222.29975794860627
642,2,6736,224.53308885017424
636,1,6764,225.4664211672474
658,3,6833,227.766418662892
661,1,6900,229.99974956445993
656,2,6900,229.99974956445993
681,2,7108,236.93307534843206
678,1,7196,239.86640548780488
667,2,7220,240.66640461672475
684,1,7260,241.99973649825785
685,1,7278,242.59973584494776
692,3,7295,243.16640189459932
688,1,7339,244.63306696428572
700,3,7361,245.36639949912893
695,1,7386,246.19973192508712
699,1,7425,247.4997305095819
703,3,7428,247.59973040069687
701,1,7514,250.46639394599305
710,1,7559,251.96639231271777
711,1,7573,252.43305847125436
716,1,7600,253.3330574912892
721,3,7625,254.1663899172474
717,1,7645,254.83305585801395
713,1,7676,255.8663880662021
730,1,7726,257.53305291811847
726,1,7778,259.2663843641115
736,1,7879,262.6330473649826
750,3,7907,263.56637968205575
751,1,7925,264.16637902874567
743,1,7940,264.66637848432055
747,1,7970,265.6663773954704
749,1,8013,267.09970916811847
759,1,8062,268.7330407229965
754,1,8074,269.1330402874565
783,1,8210,273.666368684669
776,1,8242,274.7330341898955
765,2,8252,275.06636716027873
788,1,8274,275.79969969512194
800,1,8364,278.79969642857145
796,1,8424,280.7996942508711
802,2,8428,280.9330274390244
798,1,8461,282.03302624128924
790,2,8473,282.43302580574914
805,1,8483,282.7663587761324
808,1,8508,283.5996912020906
810,1,8514,283.7996909843206
815,1,8540,284.6663567073171
809,1,8559,285.2996893510453
817,1,8618,287.26635387630665
827,2,8631,287.6996867378049
819,1,8655,288.49968586672475
822,1,8676,289.19968510452964
829,2,8705,290.1663507186411
836,3,8774,292.46634821428574
835,1,8873,295.7663446210802
842,1,8919,297.2996762848432
843,1,8960,298.66634146341465
847,1,9010,300.33300631533103
862,3,9057,301.89967127613244
853,1,9062,302.06633776132406
876,3,9173,305.7663337325784
